Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
Steward Berroa,26,672642,"Maj-AL,Maj-NL","Milwaukee,Toronto",26,51,42,7,7,6,1,0,0,1,9,16,7,2,0.167,0.314,0.19,RF,
Jon Berti,35,542932,"Maj-AL,Maj-NL","Chicago,Miami,New York",35,619,566,75,155,125,19,3,8,41,41,117,32,11,0.274,0.328,0.36,3B,
Christian Bethancourt,32,542194,"Maj-AL,Maj-NL","Chicago,Miami,Tampa Bay",32,476,452,67,100,61,23,0,16,55,17,127,4,0,0.221,0.249,0.378,1B,
Mookie Betts,33,605141,Maj-NL,Los Angeles,33,2062,1787,320,499,310,97,9,83,294,240,253,40,7,0.279,0.365,0.483,SS,LAD
Bo Bichette,28,666182,"Maj-AL,Maj-NL","New York,Toronto",28,1664,1553,183,450,310,91,5,44,212,96,292,14,7,0.29,0.333,0.44,SS,
Cavan Biggio,30,624415,"Maj-AL,Maj-NL","Atlanta,Kansas City,Los Angeles,Toronto",30,652,554,90,118,84,19,0,15,63,74,184,8,2,0.213,0.322,0.329,1B,
Tyler Black,24,672012,Maj-NL,Milwaukee,24,70,57,5,12,9,3,0,0,3,12,18,3,1,0.211,0.357,0.263,3B,MIL
Charlie Blackmon,37,453568,Maj-NL,Colorado,37,902,799,113,210,134,47,10,19,90,82,139,10,3,0.263,0.341,0.418,CF,COL
Dairon Blanco,32,680118,Maj-AL,Kansas City,32,278,250,58,64,41,12,4,7,32,18,67,58,14,0.256,0.313,0.42,CF,KC
Travis Blankenhorn,27,663905,Maj-NL,Washington,27,69,62,4,9,7,1,0,1,6,7,15,0,0,0.145,0.232,0.21,RF,WSN
JJ Bleday,27,668709,Maj-AL,"Athletics,Oakland",27,1289,1135,157,254,135,71,4,44,126,145,288,8,6,0.224,0.313,0.41,CF,
Ryan Bliss,26,669208,Maj-AL,Seattle,26,112,100,11,21,13,4,1,3,12,9,35,7,5,0.21,0.282,0.36,2B,SEA
Xander Bogaerts,33,593428,Maj-NL,San Diego,33,1771,1602,201,429,304,78,3,44,167,137,293,55,7,0.268,0.327,0.403,SS,
Alec Bohm,29,664761,Maj-NL,Philadelphia,29,1858,1694,199,462,314,96,5,47,264,128,280,11,3,0.273,0.327,0.419,3B,PHI
David Bote,31,623520,Maj-NL,Chicago,31,48,46,4,14,10,4,0,0,6,2,13,0,0,0.304,0.333,0.391,3B,CHC
Sean Bouchard,29,656248,Maj-NL,Colorado,29,224,195,32,40,24,9,1,6,22,23,74,5,2,0.205,0.291,0.354,RF,COL
Jackie Bradley Jr.,33,598265,Maj-AL,Kansas City,33,113,105,10,14,8,5,0,1,6,5,29,0,0,0.133,0.188,0.21,CF,KC
Michael Brantley,36,488726,Maj-AL,Houston,36,89,82,8,20,14,3,0,3,9,6,8,1,0,0.244,0.292,0.39,DH,HOU
