Name,Age,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Matthew Boyd,35,571510,"Maj-AL,Maj-NL","Chicago,Cleveland,Detroit",35,62,62,22.0,,321.0,280,130,94,313,35,3.64,1.165,1316,3.33,12,19,
Joe Boyle,26,671212,Maj-AL,"Oakland,Tampa Bay",26,32,25,6.0,,131.1,104,73,79,145,12,5.0,1.393,578,1.84,26,5,
Silvino Bracho,30,611093,Maj-NL,Cincinnati,30,5,0,,,7.1,5,3,6,6,0,3.68,1.5,31,1.0,1,0,CIN
Cody Bradford,26,674003,Maj-AL,Texas,26,39,21,11.0,,140.0,124,64,25,126,22,4.11,1.064,569,5.04,11,0,TEX
Kyle Bradish,29,680694,Maj-AL,Baltimore,29,48,48,16.0,,258.1,203,84,79,294,20,2.93,1.092,1043,3.72,4,2,BAL
Archie Bradley,30,605151,Maj-NL,Miami,30,4,0,,,7.1,13,9,3,7,2,11.05,2.182,39,2.33,1,0,MIA
Taj Bradley,25,671737,Maj-AL,"Minnesota,Tampa Bay",25,78,76,21.0,,402.0,373,210,146,432,64,4.7,1.291,1713,2.96,13,0,
Matt Brash,28,666374,Maj-AL,Seattle,28,144,0,12.0,8.0,131.2,111,39,53,177,7,2.67,1.246,560,3.34,9,0,SEA
Ryan Brasier,37,518489,"Maj-AL,Maj-NL","Boston,Chicago,Los Angeles",37,124,7,5.0,2.0,124.0,98,47,30,111,13,3.41,1.032,489,3.7,11,1,
Huascar Brazob\xc3\xa1n,36,623211,Maj-NL,"Miami,New York",36,148,3,12.0,2.0,180.2,145,74,84,178,13,3.69,1.268,760,2.12,19,2,
John Brebbia,35,605154,"Maj-AL,Maj-NL","Atlanta,Chicago,Detroit,San Francisco",35,120,10,4.0,2.0,116.0,112,72,45,137,22,5.59,1.353,512,3.04,10,1,
Colten Brewer,31,605155,"Maj-AL,Maj-NL","Chicago,New York",31,19,0,,1.0,29.0,30,17,12,26,4,5.28,1.448,129,2.17,7,0,
Jonah Bride,29,681146,Maj-AL,Minnesota,29,4,0,,,6.0,14,10,3,2,1,15.0,2.833,37,0.67,0,0,MIN
Beau Brieske,27,689225,Maj-AL,Detroit,27,99,14,7.0,6.0,130.2,116,58,56,122,15,3.99,1.316,557,2.18,10,0,DET
Jeff Brigham,33,656257,Maj-NL,"Arizona,New York",33,41,0,1.0,,41.0,33,25,19,45,10,5.49,1.268,178,2.37,3,1,
Braden Bristo,28,668754,Maj-AL,"Detroit,Tampa Bay",28,3,0,,1.0,7.0,5,2,4,5,0,2.57,1.286,30,1.25,1,0,
Jhony Brito,26,666745,"Maj-AL,Maj-NL","New York,San Diego",26,51,13,10.0,1.0,134.0,131,63,38,101,18,4.23,1.261,557,2.66,13,4,
Connor Brogdon,31,641401,"Maj-AL,Maj-NL","Cleveland,Los Angeles,Philadelphia",31,79,1,7.0,1.0,83.2,79,50,38,83,20,5.38,1.398,362,2.18,9,2,
Aaron Brooks,34,605156,Maj-AL,Oakland,34,5,4,,,26.2,33,15,8,12,4,5.06,1.538,119,1.5,2,0,OAK
Mike Brosseau,29,670712,Maj-NL,Milwaukee,29,3,0,,,2.1,1,1,1,0,1,3.86,0.857,9,0.0,0,0,MIL
Ben Brown,26,676962,Maj-NL,Chicago,26,46,23,6.0,1.0,176.1,173,97,58,202,24,4.95,1.31,754,3.48,15,1,CHC
Hunter Brown,27,686613,Maj-AL,Houston,27,100,93,35.0,,534.1,459,208,181,595,63,3.5,1.198,2197,3.29,58,3,HOU
McCade Brown,24,685326,Maj-NL,Colorado,24,7,7,,,25.2,30,21,17,23,6,7.36,1.831,126,1.35,5,0,COL
JT Brubaker,32,664141,"Maj-AL,Maj-NL","New York,San Francisco",32,23,1,,,36.0,30,15,18,28,1,3.75,1.333,149,1.56,2,0,
Justin Bruihl,29,677865,"Maj-AL,Maj-NL","Colorado,Los Angeles,Pittsburgh,St. Louis,Toronto",29,58,0,1.0,,55.0,64,37,25,49,6,6.05,1.618,250,1.96,6,0,
Vidal Bruj\xc3\xa1n,27,660644,Maj-NL,"Atlanta,Miami",27,4,0,,,3.2,11,11,4,1,3,27.0,4.091,27,0.25,0,0,
Zach Brzykcy,25,694350,Maj-NL,Washington,25,32,0,,,28.2,37,32,15,28,8,10.05,1.814,138,1.87,2,0,WSN
Kris Bubic,28,663460,Maj-AL,Kansas City,28,57,26,11.0,1.0,185.1,156,55,56,197,12,2.67,1.144,754,3.52,5,2,KC
David Buchanan,35,571527,Maj-NL,Cincinnati,35,1,0,,,3.1,2,1,2,1,0,2.7,1.2,14,0.5,0,0,CIN
Walker Buehler,31,621111,"Maj-AL,Maj-NL","Boston,Los Angeles,Philadelphia,San Diego",31,49,46,12.0,1.0,229.0,242,127,99,180,40,4.99,1.489,1025,1.82,34,3,
JB Bukauskas,27,656266,"Maj-AL,Maj-NL","Milwaukee,Seattle",27,12,0,,,13.0,9,2,4,13,1,1.38,1.0,52,3.25,2,0,
Madison Bumgarner,33,518516,Maj-NL,Arizona,33,4,4,,,16.2,25,19,15,10,4,10.26,2.4,90,0.67,3,0,ARI
Aaron Bummer,32,607481,"Maj-AL,Maj-NL","Atlanta,Chicago",32,165,2,12.0,,174.0,166,89,74,200,9,4.6,1.379,768,2.7,42,4,
Nick Burdi,32,595897,"Maj-AL,Maj-NL","Boston,Chicago,New York",32,19,0,1.0,,18.0,13,5,14,21,1,2.5,1.5,81,1.5,1,0,
Zack Burdi,28,641420,Maj-AL,Tampa Bay,28,3,0,,,4.0,6,5,2,5,0,11.25,2.0,20,2.5,2,0,TB
Juan Burgos,25,686228,"Maj-AL,Maj-NL","Arizona,Seattle",25,13,0,1.0,,13.1,17,9,8,14,2,6.08,1.875,65,1.75,1,0,
Raymond Burgos,25,670103,Maj-NL,San Francisco,25,1,0,,,1.0,3,1,1,1,0,9.0,4.0,7,1.0,0,0,SF
Brock Burke,29,656271,"Maj-AL,Maj-NL","Cincinnati,Los Angeles,Texas",29,163,2,15.0,1.0,160.0,162,78,46,149,25,4.39,1.3,679,3.24,7,1,
Sean Burke,26,680732,Maj-AL,Chicago,26,35,27,6.0,,168.1,156,72,73,170,25,3.85,1.36,734,2.33,22,7,CWS
Alec Burleson,26,676475,Maj-NL,St. Louis,26,3,0,,,2.2,9,4,0,1,1,13.5,3.375,17,,0,0,STL
Corbin Burnes,30,669203,"Maj-AL,Maj-NL","Arizona,Baltimore,Milwaukee",30,76,76,28.0,,459.1,361,156,140,449,54,3.06,1.091,1856,3.21,56,8,
Chase Burns,23,695505,Maj-NL,Cincinnati,23,17,11,1.0,,61.1,54,28,24,86,8,4.11,1.272,263,3.58,6,0,CIN
Ryan Burr,31,621114,Maj-AL,Toronto,31,35,4,1.0,,33.1,30,15,12,47,4,4.05,1.26,143,3.92,3,1,TOR
Mike Burrows,26,681347,"Maj-AL,Maj-NL","Houston,Pittsburgh",26,27,22,4.0,,115.1,112,53,40,114,17,4.14,1.318,489,2.85,8,0,
Alan Busenitz,33,641427,Maj-NL,Cincinnati,33,9,0,,,11.0,17,8,1,8,1,6.55,1.636,50,8.0,1,0,CIN
Ky Bush,24,681066,Maj-AL,Chicago,24,4,4,,,17.2,20,11,16,11,2,5.6,2.038,87,0.69,2,1,CWS
Matt Bush,37,456713,Maj-NL,Milwaukee,37,12,0,,1.0,10.1,11,11,6,10,5,9.58,1.645,48,1.67,1,0,MIL
